ԱԱԽ	ɑ ɑ χ ə
սկսեց	s k ə s e t͡sʰ
սկսեցին	s kʰ ə s e t͡sʰ i n
սկսեցին	s k ə s e t͡sʰ i n
Սկսնակների	s kʰ ə s n ɑ kʰ n e ɾ i
Սկսնակների	s k ə s n ɑ k n e ɾ i
սկսում	s kʰ ə s u m
սկսում	s k ə s u m
սկսված	s kʰ ə s v ɑ t͡s
սկսված	s k ə s v ɑ t͡s
սկսվել	s kʰ ə s v e l
սկսվել	s k ə s v e l
սկսվելը	s kʰ ə s v e l ə
սկսվելը	s k ə s v e l ə
սկսվեց	s kʰ ə s v e t͡sʰ
սկսվեց	s k ə s v e t͡sʰ
սկսվեցին	s kʰ ə s v e t͡sʰ i n
սկսվեցին	s k ə s v e t͡sʰ i n
սկսվում	s kʰ ə s v u m
սկսվում	s k ə s v u m
սղության	s ə ʁ u tʰ j ɑ n
սմարթֆոնը	s m ɑ ɾ tʰ f o n ə
Սմարթֆոնների	s m ɑ ɾ tʰ f o n n e ɾ i
սմբակների	s ə m b ɑ k n e ɾ i
Սմիթի	s m i tʰ i
Սյաոպինգի	s j ɑ o p i ŋ ɡ i
սյուն	s j u n
սնկերի	s ə ŋ k e ɾ i
սնկով	s ə ŋ k o v
սննդակարգը	s ə n ə n d ɑ k ɑ ɾ kʰ ə
սննդի	s ə n ə n d i
սննդով	s ə n ə n d o v
սնոուբորդը	s n o u b o ɾ d ə
սնոուբորդով	s n o u b o ɾ d o v
սնում	s ə n u m
սնունդ	s ə n u n d
սնունդը	s ə n u n d ə
սնվելու	s ə n v e l u
սնվում	s ə n v u m
Սոլանկին	s o l ɑ ŋ k i n
Սոլեյլի	s o l e j l i
սողանքից	s o ʁ ɑ ŋ kʰ i t͡sʰ
սողնակներ	s o ʁ n ɑ k n e ɾ
Սոմալիից	s o m ɑ l i i t͡sʰ
սոսկ	s o s k
Սովետական	s o v e t ɑ k ɑ n
Սովետական-Լեհական	s o v e t ɑ k ɑ n l e h ɑ k ɑ n
սովոր	s o v o ɾ
սովորաբար	s o v o ɾ ɑ b ɑ ɾ
սովորական	s o v o ɾ ɑ k ɑ n
սովորականը	s o v o ɾ ɑ k ɑ n ə
սովորել	s o v o ɾ e l
սովորել-ը	s o v o ɾ e l ə
սովորելը	s o v o ɾ e l ə
սովորելն	s o v o ɾ e l n
սովորելու	s o v o ɾ e l u
սովորեց	s o v o ɾ e t͡sʰ
սովորեցնում	s o v o ɾ e t͡sʰ n u m
սովորեցրեց	s o v o ɾ e t͡sʰ ɾ e t͡sʰ
սովորեք	s o v o ɾ e kʰ
սովորող	s o v o ɾ o ʁ
սովորողի	s o v o ɾ o ʁ i
սովորությունների	s o v o ɾ u tʰ j u n n e ɾ i
սովորում	s o v o ɾ u m
սովորույթներ	s o v o ɾ u j tʰ n e ɾ
սովորույթները	s o v o ɾ u j tʰ n e ɾ ə
սովորույթների	s o v o ɾ u j tʰ n e ɾ i
սոցիալական	s o t͡sʰ j ɑ l ɑ k ɑ n
սոցիալականացման	s o t͡sʰ j ɑ l ɑ k ɑ n ɑ t͡sʰ m ɑ n
սոցիալականացում-ն	s o t͡sʰ j ɑ l ɑ k ɑ n ɑ t͡sʰ u m n
սոցիալականացվել	s o t͡sʰ j ɑ l ɑ k ɑ n ɑ t͡sʰ v e l
սուզանավային	s u z ɑ n ɑ v ɑ j i n
Սուզանավերը	s u z ɑ n ɑ v e ɾ ə
Սուզանավերի	s u z ɑ n ɑ v e ɾ i
Սուզանավերն	s u z ɑ n ɑ v e ɾ n
սուլթանը	s u l tʰ ɑ n ə
Սուլում	s u l u m
Սունդարբանները	s u n d ɑ ɾ b ɑ n n e ɾ ə
Սունդարբանների	s u n d ɑ ɾ b ɑ n n e ɾ i
սունկը	s u ŋ k ə
Սուպեր	s u p e ɾ
Սուպեր-G-ում	s u p e ɾ gu m
սուպերմարկետներ	s u p e ɾ m ɑ ɾ k e t n e ɾ
Սուպերմարկետներում	s u p e ɾ m ɑ ɾ k e t n e ɾ u m
Սուպլիսի	s u p l i s i
սուսերամարտը	s u s e ɾ ɑ m ɑ ɾ t ə
Սուսերամարտի	s u s e ɾ ɑ m ɑ ɾ t i
սուսերամարտիկը	s u s e ɾ ɑ m ɑ ɾ t i k ə
սուր	s u ɾ
սուրբ	s u ɾ pʰ
սուրճ	s u ɾ t͡ʃ
սուրճի	s u ɾ t͡ʃ i
Սուրճն	s u ɾ t͡ʃ n
սուրճով	s u ɾ t͡ʃ o v
սոֆթբոլը	s o f tʰ b o l ə
Սոֆիայում	s o f i ɑ j u m
Սոֆոկլեսը	s o f o k l e s ə
սպամ	s p ɑ m
սպայի	s p ɑ j i
սպանդանոցների	s p ɑ n d ɑ n o t͡sʰ n e ɾ i
սպանդանոցներում	s p ɑ n d ɑ n o t͡sʰ n e ɾ u m
սպանել	s p ɑ n e l
սպանելով	s p ɑ n e l o v
սպանելու	s p ɑ n e l u
սպաները	s p ɑ n e ɾ ə
սպաներին	s p ɑ n e ɾ i n
սպանեցին	s p ɑ n e t͡sʰ i n
սպանության	s p ɑ n u tʰ j ɑ n
սպանված	s p ɑ n v ɑ t͡s
սպանվածներից	s p ɑ n v ɑ t͡s n e ɾ i t͡sʰ
սպանվեց	s p ɑ n v e t͡sʰ
սպառնալը-	s p ɑ r n ɑ l ə
սպառնալիք	s p ɑ r n ɑ l i kʰ
սպառնալիքը	s p ɑ r n ɑ l i kʰ ə
սպառնալիքի	s p ɑ r n ɑ l i kʰ i
սպառնալիքից	s p ɑ r n ɑ l i kʰ i t͡sʰ
սպառնալիքներ	s p ɑ r n ɑ l i kʰ n e ɾ
սպառնալիքները	s p ɑ r n ɑ l i kʰ n e ɾ ə
սպառնալիքների	s p ɑ r n ɑ l i kʰ n e ɾ i
սպառողական	s p ɑ r o ʁ ɑ k ɑ n
սպառվել	s p ɑ r v e l
Սպառվելու	s p ɑ r v e l u
սպասարկել	s p ɑ s ɑ ɾ k e l
սպասարկման	s p ɑ s ɑ ɾ k m ɑ n
սպասարկում	s p ɑ s ɑ ɾ k u m
սպասարկվում	s p ɑ s ɑ ɾ k v u m
սպասել	s p ɑ s e l
սպասելի	s p ɑ s e l i
սպասելով	s p ɑ s e l o v
սպասում	s p ɑ s u m
սպասվող	s p ɑ s v o ʁ
Սպասվում	s p ɑ s v u m
Սպեկտրի	s p e k t ɾ i
սպեցիացիա	s p e t͡sʰ j ɑ t͡sʰ j ɑ
Սպեցիացիան	s p e t͡sʰ j ɑ t͡sʰ j ɑ n
սպիտակ	s p i t ɑ k
սպիտակուց	s p i t ɑ k u t͡sʰ
սպիտակուցներ	s p i t ɑ k u t͡sʰ n e ɾ
սպիտակուցները	s p i t ɑ k u t͡sʰ n e ɾ ə
սպիտակուցների	s p i t ɑ k u t͡sʰ n e ɾ i
սպորտաձև	s p o ɾ t ɑ d͡z e v
սպորտաձևեր	s p o ɾ t ɑ d͡z e v e ɾ
սպորտաձևերը	s p o ɾ t ɑ d͡z e v e ɾ ə
սպորտաձևերի	s p o ɾ t ɑ d͡z e v e ɾ i
սպորտաձևերն	s p o ɾ t ɑ d͡z e v e ɾ n
սպորտաձևը	s p o ɾ t ɑ d͡z e v ə
սպորտը	s p o ɾ t ə
սպորտի	s p o ɾ t i
Սվերիջես	s v e ɾ i d͡ʒ e s
Սվինքսը	s v i ŋ kʰ s ə
ստադիոնում	s t ɑ d i o n u m
Ստամբուլի	s t ɑ m b u l i
Ստամբուլից	s t ɑ m b u l i t͡sʰ
ստանա	s t ɑ n ɑ
ստանալ	s t ɑ n ɑ l
ստանալը	s t ɑ n ɑ l ə
ստանալով	s t ɑ n ɑ l o v
ստանալու	s t ɑ n ɑ l u
ստանալուց	s t ɑ n ɑ l u t͡sʰ
ստանան	s t ɑ n ɑ n
ստանաք	s t ɑ n ɑ kʰ
ստանդարտ	s t ɑ n d ɑ ɾ t
ստանձնելու	s t ɑ n d͡z n e l u
Ստանյան	s t ɑ n j ɑ n
ստանում	s t ɑ n u m
Ստարկը	s t ɑ ɾ k ə
Ստարկի	s t ɑ ɾ k i
Ստարմեր	s t ɑ ɾ m e ɾ
ստարտափի	s t ɑ ɾ t ɑ pʰ i
ստացած	s t ɑ t͡sʰ ɑ t͡s
ստացածն	s t ɑ t͡sʰ ɑ t͡s n
ստացան	s t ɑ t͡sʰ ɑ n
ստացավ	s t ɑ t͡sʰ ɑ v
ստացել	s t ɑ t͡sʰ e l
ստացված	s t ɑ t͡sʰ v ɑ t͡s
ստացվել	s t ɑ t͡sʰ v e l
ստացվում	s t ɑ t͡sʰ v u m
ստելու	s t e l u
ստեղծագործականություն	s t e χ t͡s ɑ ɡ o ɾ t͡s ɑ k ɑ n u tʰ j u n
ստեղծագործել	s t e χ t͡s ɑ ɡ o ɾ t͡s e l
ստեղծարար	s t e χ t͡s ɑ ɾ ɑ ɾ
ստեղծել	s t e χ t͡s e l
ստեղծելով	s t e χ t͡s e l o v
ստեղծելու	s t e χ t͡s e l u
ստեղծելուց	s t e χ t͡s e l u t͡sʰ
ստեղծեց	s t e χ t͡s e t͡sʰ
ստեղծեցին	s t e χ t͡s e t͡sʰ i n
ստեղծի	s t e χ t͡s i
ստեղծման	s t e χ t͡s m ɑ n
ստեղծմանը	s t e χ t͡s m ɑ n ə
ստեղծող	s t e χ t͡s o χ
ստեղծում	s t e χ t͡s u m
ստեղծված	s t e χ t͡s v ɑ t͡s
ստեղծվել	s t e χ t͡s v e l
ստեղծվեց	s t e χ t͡s v e t͡sʰ
ստեղծվում	s t e χ t͡s v u m
ստեղնաշարը	s t e ʁ n ɑ ʃ ɑ ɾ ə
ստեղշնաշար	s t e ʁ ʃ n ɑ ʃ ɑ ɾ
ստեղված	s t e ʁ v ɑ t͡s
Ստենլի	s t e n l i
Ստենֆորդի	s t e n f o ɾ d i
ստեռլինգ	s t e r l i ŋ ɡ
ստեռլինգը	s t e r l i ŋ ɡ ə
Ստերնսը	s t e ɾ n s ə
Ստեֆան	s t e f ɑ n
Ստեֆեն	s t e f e n
ստիպած	s t i p ɑ t͡s
ստիպել	s t i p e l
ստիպելով	s t i p e l o v
ստիպեց	s t i p e t͡sʰ
ստիպեցին	s t i p e t͡sʰ i n
ստիպում	s t i p u m
ստիպված	s t i p v ɑ t͡s
Ստյուարտը	s t j u ɑ ɾ t ə
Ստյուարտի	s t j u ɑ ɾ t i
ստորագրել	s t o ɾ ɑ ɡ ɾ e l
ստորագրելու	s t o ɾ ɑ ɡ ɾ e l u
ստորագրեց	s t o ɾ ɑ ɡ ɾ e t͡sʰ
ստորագրության	s t o ɾ ɑ ɡ ɾ u tʰ j ɑ n
ստորագրում	s t o ɾ ɑ ɡ ɾ u m
ստորգետնյա	s t o ɾ ɡ e t n j ɑ
ստորև	s t o ɾ e v
ստորին	s t o ɾ i n
ստորոտին	s t o ɾ o t i n
ստորջրյա	s t o ɾ d͡ʒ ə ɾ j ɑ
ստուգելու	s t u ɡ e l u
Ստուգեք	s t u ɡ e kʰ
ստուգման	s t u ɡ m ɑ n
ստուգում	s t u ɡ u m
ստուգումը	s t u ɡ u m ə
ստուգումներ	s t u ɡ u m n e ɾ
ստուգումները	s t u ɡ u m n e ɾ ə
ստուգումներն	s t u ɡ u m n e ɾ n
ստուգվեց	s t u ɡ v e t͡sʰ
ստուդիա	s t u d j ɑ
ստուդիան	s t u d j ɑ n
ստում	s t u m
Ստոֆանը	s t o f ɑ n ə
ստվեր	s t ə v e ɾ
ստվերոտ	s t ə v e ɾ o t
Ստրաբոնը	s t ɾ ɑ b o n ə
սրա	s ɾ ɑ
սրածայր	s ə ɾ ɑ t͡s ɑ j ɾ
սրահի	s ə ɾ ɑ h i
սրահներով	s ə ɾ ɑ h n e ɾ o v
սրանք	s ə ɾ ɑ ŋ kʰ
սրբազան	s ə ɾ pʰ ɑ z ɑ n
սրբավայր	s ə ɾ pʰ ɑ v ɑ j ɾ
սրբատեղի	s ə ɾ pʰ ɑ t e ʁ i
սրիչի	s ə ɾ i t͡ʃʰ i
սրճարաններ	s ə ɾ t͡ʃ ɑ ɾ ɑ n n e ɾ
սրճարանների	s ə ɾ t͡ʃ ɑ ɾ ɑ n n e ɾ i
սրության	s ə ɾ u tʰ j ɑ n
սրվակ	s ə ɾ v ɑ k
Սրտանոթային	s ə ɾ t ɑ n o tʰ ɑ j i n
սրտի	s ə ɾ t i
սրտիս	s ə ɾ t i s
սրտից	s ə ɾ t i t͡sʰ
սցենար	s t͡sʰ e n ɑ ɾ
սփռել	s ə pʰ r e l
սփռված	s ə pʰ ə r v ɑ t͡s
Սփրինգբոքսը	s pʰ ɾ i ŋ ɡ b o kʰ s ə
Սփրինգբոքսների	s pʰ ɾ i ŋ ɡ b o kʰ s n e ɾ i
Սքայ	s kʰ ɑ j
սքանչելի	s kʰ ɑ n t͡ʃʰ e l i
Սքոթ	s kʰ o tʰ
Սքվոշը	s kʰ v o ʃ ə
Սֆինքսը	s f i ŋ kʰ s ə
վ.	v
վագոններ	v ɑ ɡ o n n e ɾ
վագոնները	v ɑ ɡ o n n e ɾ ə
վագոնների	v ɑ ɡ o n n e ɾ i
վագր	v ɑ ɡ ɾ
վագր	v ɑ ɡ ə ɾ
Վագրը	v ɑ ɡ ɾ ə
Վագրի	v ɑ ɡ ɾ i
վազանց	v ɑ z ɑ n t͡sʰ
վազորդը	v ɑ z o ɾ tʰ ə
վազում	v ɑ z u m
վազք	v ɑ z kʰ
վազքը	v ɑ z kʰ ə
վազքի	v ɑ z kʰ i
վազքով	v ɑ z kʰ o v
Վալետայում	v ɑ l e t ɑ j u m
վախենում	v ɑ χ e n u m
վախերը	v ɑ χ e ɾ ə
վախերից	v ɑ χ e ɾ i t͡sʰ
վախեցել	v ɑ χ e t͡sʰ e l
վախեցեք	v ɑ χ e t͡sʰ e kʰ
վախը	v ɑ χ ə
վախի	v ɑ χ i
վախով	v ɑ χ o v
վահան	v ɑ h ɑ n
վահանակի	v ɑ h ɑ n ɑ k i
վահանակին	v ɑ h ɑ n ɑ k i n
վահանակն	v ɑ h ɑ n ɑ k n
վաղ	v ɑ ʁ
վաղաժամ	v ɑ ʁ ɑ ʒ ɑ m
վաճառականների	v ɑ t͡ʃ ɑ r ɑ k ɑ n n e ɾ i
վաճառելու	v ɑ t͡ʃ ɑ r e l u
վաճառում	v ɑ t͡ʃ ɑ r u m
վաճառված	v ɑ t͡ʃ ɑ r v ɑ t͡s
վաճառվել	v ɑ t͡ʃ ɑ r v e l
վաճառվում	v ɑ t͡ʃ ɑ r v u m
վաճառքը	v ɑ t͡ʃ ɑ r kʰ ə
վաճառքն	v ɑ t͡ʃ ɑ r kʰ n
վայելել	v ɑ j e l e l
վայելելու	v ɑ j e l e l u
վայելեք	v ɑ j e l e kʰ
վայելքը	v ɑ j e l kʰ ə
վայր	v ɑ j ɾ
վայրագությունները	v ɑ j ɾ ɑ ɡ u tʰ j u n n e ɾ ə
Վայրագությունների	v ɑ j ɾ ɑ ɡ u tʰ j u n n e ɾ i
վայրենացած	v ɑ j ɾ e n ɑ t͡sʰ ɑ t͡s
վայրեր	v ɑ j ɾ e ɾ
վայրերը	v ɑ j ɾ e ɾ ə
վայրերը	v ɑ j ɾ e ɾ ə
վայրերի	v ɑ j ɾ e ɾ i
վայրերից	v ɑ j ɾ e ɾ i t͡sʰ
վայրերն	v ɑ j ɾ e ɾ n
վայրերով	v ɑ j ɾ e ɾ o v
վայրերում	v ɑ j ɾ e ɾ u m
վայրերում	v ɑ j ɾ e ɾ u m
վայրէջք	v ɑ j ɾ e t͡ʃʰ kʰ
վայրէջքի	v ɑ j ɾ e t͡ʃʰ kʰ i
վայրէջքները	v ɑ j ɾ e t͡ʃʰ kʰ n e ɾ ə
վայրը	v ɑ j ɾ ə
վայրի	v ɑ j ɾ i
վայրին	v ɑ j ɾ i n
վայրից	v ɑ j ɾ i t͡sʰ
վայրկյան	v ɑ j ɾ k j ɑ n
վայրկյան	v ɑ ɾ k j ɑ n
վայրկյանում	v ɑ j ɾ k j ɑ n u m
վայրկյանում	v ɑ ɾ k j ɑ n u m
վայրն	v ɑ j ɾ n
վայրում	v ɑ j ɾ u m
վանականը	v ɑ n ɑ k ɑ n ə
վանականներ	v ɑ n ɑ k ɑ n n e ɾ
Վանդա	v ɑ n d ɑ
վանդալիզմի	v ɑ n d ɑ l i z m i
Վանկուվերի	v ɑ ŋ k u v e ɾ i
Վանկուվերից	v ɑ ŋ k u v e ɾ i t͡sʰ
վանք	v ɑ ŋ kʰ
Վանքեր	v ɑ ŋ kʰ e ɾ
Վանքի	v ɑ ŋ kʰ i
Վաշինգթոն	v ɑ ʃ i ŋ ɡ tʰ o n
Վաշինգտոնի	v ɑ ʃ i ŋ ɡ t o n i
Վաշինգտոնին	v ɑ ʃ i ŋ ɡ t o n i n
Վաշինգտոնյան	v ɑ ʃ i ŋ ɡ t o n j ɑ n
վառ	v ɑ r
վառարան	v ɑ r ɑ ɾ ɑ n
վառելիք	v ɑ r e l i kʰ
վառելիքի	v ɑ r e l i kʰ i
վառվում	v ɑ r v u m
Վասկո	v ɑ s k o
վաստակեց	v ɑ s t ɑ k e t͡sʰ
վավեր	v ɑ v e ɾ
վավերացնել	v ɑ v e ɾ ɑ t͡sʰ n e l
վավերացնի	v ɑ v e ɾ ɑ t͡sʰ n i
վավերացնում	v ɑ v e ɾ ɑ t͡sʰ n u m
վավերացվի	v ɑ v e ɾ ɑ t͡sʰ v i
վատ	v ɑ t
վատ-	v ɑ t
վատագույն	v ɑ t ɑ ɡ u j n
Վատիկան	v ɑ t i k ɑ n
վատնելով	v ɑ t n e l o v
վար	v ɑ ɾ
վարագույրների	v ɑ ɾ ɑ ɡ u j ɾ n e ɾ i
վարազ	v ɑ ɾ ɑ z
վարակել	v ɑ ɾ ɑ k e l
վարակի	v ɑ ɾ ɑ k i
վարակիչ	v ɑ ɾ ɑ k i t͡ʃʰ
վարակներ	v ɑ ɾ ɑ k n e ɾ
վարակող	v ɑ ɾ ɑ k o ʁ
վարակումը	v ɑ ɾ ɑ k u m ə
վարակված	v ɑ ɾ ɑ k v ɑ t͡s
վարակվածից	v ɑ ɾ ɑ k v ɑ t͡s i t͡sʰ
վարակվել	v ɑ ɾ ɑ k v e l
վարակվում	v ɑ ɾ ɑ k v u m
վարդակ	v ɑ ɾ tʰ ɑ k
վարդակի	v ɑ ɾ tʰ ɑ k i
վարել	v ɑ ɾ e l
վարելը	v ɑ ɾ e l ə
վարելու	v ɑ ɾ e l u
վարելուն	v ɑ ɾ e l u n
վարժությունների	v ɑ ɾ ʒ u tʰ j u n n e ɾ i
վարիչը	v ɑ ɾ i t͡ʃʰ ə
վարկածներից	v ɑ ɾ k ɑ t͡s n e ɾ i t͡sʰ
վարկային	v ɑ ɾ k ɑ j i n
վարկանիշների	v ɑ ɾ k ɑ n i ʃ n e ɾ i
վարձ	v ɑ ɾ t͡sʰ
վարձակալելու	v ɑ ɾ t͡sʰ ɑ k ɑ l e l u
վարձակալները	v ɑ ɾ t͡sʰ ɑ k ɑ l n e ɾ ə
վարձակալության	v ɑ ɾ t͡sʰ ɑ k ɑ l u tʰ j ɑ n
վարձով	v ɑ ɾ t͡sʰ o v
վարձույթն	v ɑ ɾ t͡sʰ u j tʰ n
վարձույթով	v ɑ ɾ t͡sʰ u j tʰ o v
վարման	v ɑ ɾ m ɑ n
վարորդ	v ɑ ɾ o ɾ tʰ
վարորդական	v ɑ ɾ o ɾ tʰ ɑ k ɑ n
վարորդը	v ɑ ɾ o ɾ tʰ ə
վարորդի	v ɑ ɾ o ɾ tʰ i
վարորդին	v ɑ ɾ o ɾ tʰ i n
վարորդն	v ɑ ɾ o ɾ tʰ n
վարորդները	v ɑ ɾ o ɾ tʰ n e ɾ ə
վարորդների	v ɑ ɾ o ɾ tʰ n e ɾ i
վարորդներին	v ɑ ɾ o ɾ tʰ n e ɾ i n
վարում	v ɑ ɾ u m
վարույթը	v ɑ ɾ u j tʰ ə
վարչակազմում	v ɑ ɾ t͡ʃʰ ɑ k ɑ z m u m
վարչակարգին	v ɑ ɾ t͡ʃʰ ɑ k ɑ ɾ kʰ i n
Վարչապետ	v ɑ ɾ t͡ʃʰ ɑ p e t
վարչապետի	v ɑ ɾ t͡ʃʰ ɑ p e t i
վարչության	v ɑ ɾ t͡ʃʰ u tʰ j ɑ n
վարչությանը	v ɑ ɾ t͡ʃʰ u tʰ j ɑ n ə
վարչությունում	v ɑ ɾ t͡ʃʰ u tʰ j u n u m
Վարվելաձևը	v ɑ ɾ v e l ɑ d͡z e v ə
վարք	v ɑ ɾ kʰ
վարքագիծ	v ɑ ɾ kʰ ɑ ɡ i t͡s
վարքագիծն	v ɑ ɾ kʰ ɑ ɡ i t͡s n
վարքագծի	v ɑ ɾ kʰ ɑ ɡ ə t͡s i
վարքագծին	v ɑ ɾ kʰ ɑ ɡ ə t͡s i n
վարքագծով	v ɑ ɾ kʰ ɑ ɡ ə t͡s o v
վարքը	v ɑ ɾ kʰ ə
վարքի	v ɑ ɾ kʰ i
վարքն	v ɑ ɾ kʰ n
Վեգիլլան	v e ɡ i l l ɑ n
Վելասկեսը	v e l ɑ s k e s ə
Վելլին	v e l l i n
Վելլինգտոնում	v e l l i ŋ ɡ t o n u m
վելոցիրապտորի	v e l o t͡sʰ i ɾ ɑ p t o ɾ i
վեհաժողովի	v e h ɑ ʒ o ʁ o v i
վեհաշուք	v e h ɑ ʃ u kʰ
վեճին.	v e t͡ʃ i n
Վեյզի	v e j z i
Վենեսուելայի	v e n e s u e l ɑ j i
Վենեսուելացիների	v e n e s u e l ɑ t͡sʰ i n e ɾ i
Վեներայի	v e n e ɾ ɑ j i
Վեներան	v e n e ɾ ɑ n
Վեսթմինիսթրի	v e s tʰ m i n i s tʰ ɾ i
Վեսթջեթը	v e s tʰ d͡ʒ e tʰ ə
վեր	v e ɾ
վերաբերելու	v e ɾ ɑ b e ɾ e l u
վերաբերյալ	v e ɾ ɑ b e ɾ j ɑ l
վերաբերող	v e ɾ ɑ b e ɾ o ʁ
վերաբերում	v e ɾ ɑ b e ɾ u m
վերաբերվել	v e ɾ ɑ b e ɾ v e l
վերաբերվեք	v e ɾ ɑ b e ɾ v e kʰ
վերաբերվում	v e ɾ ɑ b e ɾ v u m
վերագնահատեք	v e ɾ ɑ ɡ ə n ɑ h ɑ t e kʰ
վերագրվում	v e ɾ ɑ ɡ ə ɾ v u m
վերադառնալ	v e ɾ ɑ d ɑ r n ɑ l
վերադառնալով	v e ɾ ɑ d ɑ r n ɑ l o v
վերադառնալու	v e ɾ ɑ d ɑ r n ɑ l u
վերադառնաք	v e ɾ ɑ d ɑ r n ɑ kʰ
վերադառնում	v e ɾ ɑ d ɑ r n u m
վերադասների	v e ɾ ɑ d ɑ s n e ɾ i
վերադարձ	v e ɾ ɑ d ɑ ɾ t͡sʰ
վերադարձան	v e ɾ ɑ d ɑ ɾ t͡sʰ ɑ n
վերադարձավ	v e ɾ ɑ d ɑ ɾ t͡sʰ ɑ v
վերադարձել	v e ɾ ɑ d ɑ ɾ t͡sʰ e l
վերադարձի	v e ɾ ɑ d ɑ ɾ t͡sʰ i
վերադարձնել	v e ɾ ɑ d ɑ ɾ t͡sʰ n e l
վերադարձող	v e ɾ ɑ d ɑ ɾ t͡sʰ o ʁ
վերադարձվի-	v e ɾ ɑ d ɑ ɾ t͡sʰ v i
վերադարձրել	v e ɾ ɑ d ɑ ɾ t͡sʰ ɾ e l
վերադարձրեց	v e ɾ ɑ d ɑ ɾ t͡sʰ ɾ e t͡sʰ
Վերածնունդը	v e ɾ ɑ t͡s ə n u n d ə
վերածնված	v e ɾ ɑ t͡s ə n v ɑ t͡s
վերածվել	v e ɾ ɑ t͡s v e l
վերածվելով	v e ɾ ɑ t͡s v e l o v
վերածվեց	v e ɾ ɑ t͡s v e t͡sʰ
վերածվի	v e ɾ ɑ t͡s v i
վերածվում	v e ɾ ɑ t͡s v u m
վերակազմակերպվելն	v e ɾ ɑ k ɑ z m ɑ k e ɾ p v e l n
վերականգնելու	v e ɾ ɑ k ɑ ŋ ɡ n e l u
վերականգնեցին	v e ɾ ɑ k ɑ ŋ ɡ n e t͡sʰ i n
վերականգնողական	v e ɾ ɑ k ɑ ŋ ɡ n o ʁ ɑ k ɑ n
վերականգնումը	v e ɾ ɑ k ɑ ŋ ɡ n u m ə
վերականգնված	v e ɾ ɑ k ɑ ŋ ɡ n ə v ɑ t͡s
վերականգնվել	v e ɾ ɑ k ɑ ŋ ɡ n ə v e l
վերականգնվեց	v e ɾ ɑ k ɑ ŋ ɡ n ə v e t͡sʰ
վերականգնվող	v e ɾ ɑ k ɑ ŋ ɡ n ə v o ʁ
վերականգնվում	v e ɾ ɑ k ɑ ŋ ɡ n ə v u m
վերակառուցեց	v e ɾ ɑ k ɑ r u t͡sʰ e t͡sʰ
վերակառուցեցին	v e ɾ ɑ k ɑ r u t͡sʰ e t͡sʰ i n
վերակառուցման	v e ɾ ɑ k ɑ r u t͡sʰ m ɑ n
վերակառուցվել	v e ɾ ɑ k ɑ r u t͡sʰ v e l
վերակառուցվեց	v e ɾ ɑ k ɑ r u t͡sʰ v e t͡sʰ
վերակացու	v e ɾ ɑ k ɑ t͡sʰ u
վերակիրառելով	v e ɾ ɑ k i ɾ ɑ r e l o v
վերահամակցումը	v e ɾ ɑ h ɑ m ɑ k t͡sʰ u m ə
վերահաստատվել	v e ɾ ɑ h ɑ s t ɑ t v e l
վերահսկել	v e ɾ ɑ h ə s k e l
վերահսկիչներին	v e ɾ ɑ h ə s k i t͡ʃʰ n e ɾ i n
վերահսկման	v e ɾ ɑ h ə s k m ɑ n
վերահսկողական	v e ɾ ɑ h ə s k o ʁ ɑ k ɑ n
Վերահսկողության	v e ɾ ɑ h ə s k o ʁ u tʰ j ɑ n
վերահսկողությանը	v e ɾ ɑ h ə s k o ʁ u tʰ j ɑ n ə
վերահսկողություն	v e ɾ ɑ h ə s k o ʁ u tʰ j u n
վերահսկողությունը	v e ɾ ɑ h ə s k o ʁ u tʰ j u n ə
վերահսկում	v e ɾ ɑ h ə s k u m
վերամիավորվելով	v e ɾ ɑ m i ɑ v o ɾ v e l o v
վերամիավորվելով	v e ɾ ɑ m i j ɑ v o ɾ v e l o v
վերանայման	v e ɾ ɑ n ɑ j m ɑ n
վերանորոգման	v e ɾ ɑ n o ɾ o kʰ m ɑ n
վերանվաճումից	v e ɾ ɑ n ə v ɑ t͡ʃ u m i t͡sʰ
վերաշարադրում	v e ɾ ɑ ʃ ɑ ɾ ɑ d ɾ u m
վերապատրաստման	v e ɾ ɑ p ɑ t ɾ ɑ s t m ɑ n
վերապատրաստվել	v e ɾ ɑ p ɑ t ɾ ɑ s t v e l
վերապրած	v e ɾ ɑ p ɾ ɑ t͡s
վերապրածների	v e ɾ ɑ p ɾ ɑ t͡s n e ɾ i
վերապրել	v e ɾ ɑ p ɾ e l
վերապրեցին	v e ɾ ɑ p ɾ e t͡sʰ i n
վերացել	v e ɾ ɑ t͡sʰ e l
վերափոխելու	v e ɾ ɑ pʰ o χ e l u
վերափոխում	v e ɾ ɑ pʰ o χ u m
վերափոխվում	v e ɾ ɑ pʰ o χ v u m
վերգետնյա	v e ɾ ɡ e t n j ɑ
Վերդեի	v e ɾ d e i
վերելքի	v e ɾ e l kʰ i
վերև	v e ɾ e v
Վերևի	v e ɾ e v i
վերևից	v e ɾ e v i t͡sʰ
վերևում	v e ɾ e v u m
վերը	v e ɾ ə
վերընտրվել	v e ɾ ə n t ɾ v e l
վերին	v e ɾ i n
վերլուծական	v e ɾ l u t͡s ɑ k ɑ n
վերլուծության	v e ɾ l u t͡s u tʰ j ɑ n
վերհիշելով	v e ɾ h i ʃ e l o v
